Budget,Release Year,Revenue,Title,Starring Actors Popularity,profit
55000000,1996,18626419,The Fan,950.4157943,-36373581
55000000,1996,141047179,Evita,409.7768943,86047179
25485000,1970,29548291,Tora! Tora! Tora!,123.7122197,4063291
60000000,1999,73648228,Deep Blue Sea,0.0,13648228
60000000,1999,66976317,The Messenger: The Story of Joan of Arc,2220.304843,6976317
60000000,1999,284600000,The Green Mile,4719.576802,224600000
60000000,1999,149705852,The General's Daughter,2009.441225,89705852
53000000,1995,157387195,Crimson Tide,1418.930632,104387195
80000000,2009,214104620,Public Enemies,5434.037669,134104620
80000000,2009,122444772,Surrogates,5821.307298,42444772
80000000,2009,53825515,Nine,512.3828235,-26174485
65000000,2002,172855065,The Santa Clause 2,1871.318831,107855065
75000000,2007,527068851,The Simpsons Movie,0.0,452068851
75000000,2007,119000410,Charlie Wilson's War,8131.930407,44000410
54000000,1996,128769345,The Nutty Professor,1975.213475,74769345
72500000,2006,162966177,Talladega Nights: The Ballad of Ricky Bobby,714.4727469,90466177
25000000,1970,3052000,Waterloo,1198.034987,-21948000
70000000,2005,368100420,Hitch,5269.653613,298100420
70000000,2005,130358911,Munich,1072.138426,60358911
52000000,1995,355237933,Apollo 13,2377.875526,303237933
52000000,1995,116112375,Casino,2560.566784,64112375
62000000,2001,18720175,3000 Miles to Graceland,3459.798004,-43279825
55000000,1997,11466088,Turbulence,458.7381821,-43533912
60000000,2000,47383689,Almost Famous,1.308687299,-12616311
78146652,2009,60000000,Duplicity,4096.656727,-18146652
50000000,1994,16671505,Baby's Day Out,0.0,-33328495
50000000,1994,119208989,Beverly Hills Cop III,1798.594012,69208989
50000000,1994,49000000,On Deadly Ground,177.8244928,-1000000
35000000,1982,69701637,The Best Little Whorehouse in Texas,89.96096194,34701637
36000000,1983,160000000,Never Say Never Again,2008.738027,124000000
63000000,2002,296655431,Austin Powers in Goldmember,1573.247368,233655431
75000000,2008,258270008,Wanted,3462.489382,183270008
75000000,2008,200276000,Valkyrie,7771.52019,125276000
48000000,1993,20915465,Super Mario Bros.,17.25617936,-27084535
40000000,1987,191185897,The Living Daylights,0.0,151185897
