Budget,Revenue,Title,Average Vote,release_date,Release Year,Starring Actors Popularity
5000000,15179302,The Last Exorcism Part II,4.4,2013/2/28,2013,78.31074819
5000000,44030246,Oculus,6.3,2013/9/8,2013,0
5000000,55198285,Dallas Buyers Club,7.9,2013/9/7,2013,1794.859483
3000000,4109095,Kama Sutra - A Tale of Love,5.7,1996/9/11,1996,0
4000000,13401952,The History Boys,6.6,2006/10/2,2006,0
4000000,4630045,Let's Go to Prison,5.5,2006/11/17,2006,188.0383572
4000000,31584901,Scoop,6.4,2006/7/27,2006,1223.144674
4500000,3606395,After.Life,5.4,2010/4/9,2010,2667.663768
2962051,3011195,Basquiat,6.6,1996/8/9,1996,719.9922264
5000000,103590271,Ouija,4.9,2014/10/24,2014,0
5000000,846704,Atlas Shrugged Part III: Who is John Galt?,3.9,2014/9/12,2014,0
5000000,6833445,The Green Inferno,5,2014/9/4,2014,0
5000000,40100000,"As Above, So Below",6.1,2014/8/14,2014,0
5000000,43884652,Still Alice,7.5,2014/12/5,2014,3719.870823
5000000,86362372,Paranormal Activity: The Marked Ones,5.2,2014/1/1,2014,0
5000000,2450846,Kill the Messenger,6.6,2014/10/9,2014,1564.484038
5000000,10429707,Moms' Night Out,5.5,2014/3/25,2014,34.82105503
3500159,76578641,Bend It Like Beckham,6.2,2002/4/11,2002,0
1200000,6000000,"The Good, the Bad and the Ugly",8.1,1966/12/23,1966,66.68254161
3000000,23144499,Air Bud,5.3,1997/8/1,1997,0
3000000,302204,Shooting Fish,7,1997/8/22,1997,0
4800000,10337387,Only God Forgives,5.6,2013/5/30,2013,587.3254294
4000000,2426851,You Kill Me,6.2,2007/2/9,2007,1302.496999
5000000,98450062,The Visit,6,2015/9/10,2015,212.3283765
5000000,58978653,The Gift,6.7,2015/7/30,2015,1526.373904
5000000,54418872,No Escape,6.7,2015/8/26,2015,3647.504133
5000000,4842699,90 Minutes in Heaven,5.4,2015/9/11,2015,2069.729388
2600000,2850263,Airborne,6.1,1993/9/17,1993,0
3000000,2807390,Happiness,7.4,1998/10/16,1998,26.11828682
439000,2281000,42nd Street,6.1,1933/2/2,1933,0
4000000,530048,Winter in Wartime,6.8,2008/11/17,2008,0
4600000,23198652,The Way Way Back,7.1,2013/6/6,2013,2343.809903
2000000,390659,Subway,6.3,1985/4/10,1985,0
5000000,24804129,Race,7.1,2016/2/19,2016,487.9644868
5000000,23507567,God's Not Dead 2,5.7,2016/4/1,2016,25.38608586
5000000,3220371,Green Room,6.7,2016/4/15,2016,462.3173724
3300000,30641770,City of God,8.1,2002/2/5,2002,0
379000,4358000,The Broadway Melody,5,1929/2/8,1929,0
3000000,3076820,Jawbreaker,5.9,1999/1/30,1999,124.6340253
2900000,5596708,Central Station,7.6,1998/1/16,1998,0
4900000,44107032,Lights Out,6.3,2016/7/21,2016,596.4562341
730000,8000000,High Noon,7.6,1952/3/27,1952,0.000185036
